package,stars,downloads,gallery,description,CRAN
ggResidpanel,NA,153912,NA,"Panels and Interactive Versions of Diagnostic Plots using
'ggplot2'",TRUE
ggsurvfit,3,153033,TRUE,Flexible Time-to-Event Figures,TRUE
ggseqlogo,211,146268,TRUE,"A 'ggplot2' Extension for Drawing Publication-Ready Sequence
Logos",TRUE
ggupset,354,145758,TRUE,Combination Matrix Axis for 'ggplot2' to Create 'UpSet' Plots,TRUE
ggThemeAssist,NA,136735,NA,Add-in to Customize 'ggplot2' Themes,TRUE
AMR,91,130774,TRUE,NA,NA
RcmdrPlugin.KMggplot2,NA,130673,NA,R Commander Plug-in for Data Visualization with 'ggplot2',TRUE
ggquickeda,NA,128660,NA,"Quickly Explore Your Data Using 'ggplot2' and 'table1' Summary
Tables",TRUE
gratia,NA,127146,NA,"Graceful 'ggplot'-Based Graphics and Other Functions for GAMs
Fitted Using 'mgcv'",TRUE
ggseas,74,115858,TRUE,'stats' for Seasonal Adjustment on the Fly with 'ggplot2',TRUE
ggraptR,NA,113325,NA,"Allows Interactive Visualization of Data Through a Web Browser
GUI",TRUE
ggeasy,274,102672,TRUE,Easy Access to 'ggplot2' Commands,TRUE
geomtextpath,629,102282,TRUE,Curved Text in 'ggplot2',TRUE
ggRandomForests,NA,101678,NA,Visually Exploring Random Forests,TRUE
ggplot2.utils,NA,101228,NA,Selected Utilities Extending 'ggplot2',TRUE
gginnards,24,99707,TRUE,Explore the Innards of 'ggplot2' Objects,TRUE
ggedit,250,99305,TRUE,Interactive 'ggplot2' Layer and Theme Aesthetic Editor,TRUE
ggjoy,NA,96457,NA,Joyplots in 'ggplot2',TRUE
jcolors,NA,95080,NA,"Colors Palettes for R and 'ggplot2', Additional Themes for
'ggplot2'",TRUE
gge,NA,94392,NA,Genotype Plus Genotype-by-Environment Biplots,TRUE
geofacet,340,89089,TRUE,'ggplot2' Faceting Utilities for Geographical Data,TRUE
ggpointdensity,422,81830,TRUE,A Cross Between a 2D Density Plot and a Scatter Plot,TRUE
ggplotgui,NA,79446,NA,Create Ggplots via a Graphical User Interface,TRUE
xkcd,NA,78544,NA,Plotting ggplot2 Graphics in an XKCD Style,TRUE
ggdark,199,78097,TRUE,Dark Mode for 'ggplot2' Themes,TRUE
ggpolypath,NA,76511,NA,Polygons with Holes for the Grammar of Graphics,TRUE
ggokabeito,NA,71267,NA,'Okabe-Ito' Scales for 'ggplot2' and 'ggraph',TRUE
ggspectra,5,70519,TRUE,Extensions to 'ggplot2' for Radiation Spectra,TRUE
ggparty,147,69320,TRUE,'ggplot' Visualizations for the 'partykit' Package,TRUE
sugrrants,82,67607,TRUE,NA,NA
ComplexUpset,486,66655,TRUE,Create Complex UpSet Plots Using 'ggplot2' Components,TRUE
ggparallel,NA,63613,NA,Variations of Parallel Coordinate Plots for Categorical Data,TRUE
ggQC,46,62072,TRUE,Quality Control Charts for 'ggplot',TRUE
ggstar,100,61181,TRUE,Multiple Geometric Shape Point Layer for 'ggplot2',TRUE
ggbiplot,NA,60463,NA,A Grammar of Graphics Implementation of Biplots,TRUE
lindia,104,57252,TRUE,NA,NA
ichimoku,31,56685,TRUE,NA,NA
ggplotAssist,NA,55701,NA,'RStudio' Addin for Teaching and Learning 'ggplot2',TRUE
autoplotly,88,54587,TRUE,NA,NA
bdscale,NA,51051,NA,Remove Weekends and Holidays from ggplot2 Axes,TRUE
jskm,NA,50553,NA,Kaplan-Meier Plot with 'ggplot2',TRUE
calendR,255,49984,TRUE,Ready to Print Monthly and Yearly Calendars Made with 'ggplot2',TRUE
granovaGG,NA,49036,NA,Graphical Analysis of Variance Using ggplot2,TRUE
ggtangle,NA,48635,NA,Draw Network with Data,TRUE
ggfx,170,47608,TRUE,Pixel Filters for 'ggplot2' and 'grid',TRUE
ggpval,NA,46901,NA,Annotate Statistical Tests for 'ggplot2',TRUE
ggTimeSeries,255,46470,TRUE,Time Series Visualisations Using the Grammar of Graphics,TRUE
ggsoccer,NA,44346,NA,Plot Soccer Event Data,TRUE
ggmuller,64,44169,TRUE,Create Muller Plots of Evolutionary Dynamics,TRUE
ggswissmaps,NA,43920,NA,Offers Various Swiss Maps as Data Frames and 'ggplot2' Objects,TRUE
ggPMX,NA,42285,NA,"'ggplot2' Based Tool to Facilitate Diagnostic Plots for NLME
Models",TRUE
gglm,79,42189,TRUE,Grammar of Graphics for Linear Model Diagnostic Plots,TRUE
ggetho,NA,41961,NA,"Visualisation of High-Throughput Behavioural (i.e. Ethomics)
Data",TRUE
ggquiver,51,41636,TRUE,Quiver Plots for 'ggplot2',TRUE
gg.gap,NA,41579,NA,Define Segments in y-Axis for 'ggplot2',TRUE
ggenealogy,NA,41352,NA,Visualization Tools for Genealogical Data,TRUE
gggibbous,NA,40781,NA,"Moon Charts, a Pie Chart Alternative",TRUE
GGEBiplots,NA,40472,NA,GGE Biplots with 'ggplot2',TRUE
tvthemes,140,40012,TRUE,TV Show Themes and Color Palettes for 'ggplot2' Graphics,TRUE
ggplotlyExtra,NA,39682,NA,Extra Convenience Functions for 'Plotly',TRUE
quickReg,NA,39483,NA,"Build Regression Models Quickly and Display the Results Using
'ggplot2'",TRUE
ggasym,13,39177,TRUE,NA,NA
gapmap,NA,38484,NA,Drawing Gapped Cluster Heatmaps with 'ggplot2',TRUE
geomnet,97,37313,TRUE,NA,NA
rphylopic,91,37263,TRUE,NA,NA
plotluck,NA,36529,NA,"'ggplot2' Version of ""I'm Feeling Lucky!""",TRUE
gginference,NA,36387,NA,Visualise the Results of Inferential Statistics using 'ggplot2',TRUE
ggdemetra,NA,36138,NA,"'ggplot2' Extension for Seasonal and Trading Day Adjustment with
'RJDemetra'",TRUE
ggcharts,292,35664,TRUE,Shorten the Distance from Data Visualization Idea to Actual Plot,TRUE
ggbump,541,35400,TRUE,Bump Chart and Sigmoid Curves,TRUE
nord,NA,35282,NA,"Arctic Ice Studio's Nord and Group of Seven Inspired Colour
Palettes for 'ggplot2'",TRUE
ggallin,NA,34786,NA,Grab Bag of 'ggplot2' Functions,TRUE
gglorenz,31,34424,TRUE,Plotting Lorenz Curve with the Blessing of 'ggplot2',TRUE
ggdmc,NA,34387,NA,Cognitive Models,TRUE
piecepackr,59,33869,TRUE,NA,NA
ggversa,NA,31939,NA,Graficas Versatiles Con 'ggplot2',TRUE
ggChernoff,36,31522,TRUE,Chernoff Faces for 'ggplot2',TRUE
nflplotR,20,31301,TRUE,NFL Logo Plots in 'ggplot2' and 'gt',TRUE
ggghost,NA,30560,NA,Capture the Spirit of Your 'ggplot2' Calls,TRUE
gghalfnorm,NA,29919,NA,Create a Half Normal Plot Using 'ggplot2',TRUE
ggperiodic,21,29888,TRUE,Easy Plotting of Periodic Data with 'ggplot2',TRUE
swimplot,NA,29872,NA,Tools for Creating Swimmers Plots using 'ggplot2',TRUE
contribution,NA,29590,NA,A Tiny Contribution Table Generator Based on 'ggplot2',TRUE
ggOceanMaps,NA,29321,NA,Plot Data on Oceanographic Maps using 'ggplot2',TRUE
aRtsy,NA,29117,NA,Generative Art with 'ggplot2',TRUE
ggstream,NA,28782,NA,Create Streamplots in 'ggplot2',TRUE
ggrain,75,28410,TRUE,A Rainclouds Geom for 'ggplot2',TRUE
ggrisk,NA,27788,NA,Risk Score Plot for Cox Regression,TRUE
deeptime,90,26928,TRUE,NA,NA
add2ggplot,NA,26470,NA,Add to 'ggplot2',TRUE
ggblanket,168,26449,TRUE,Simplify 'ggplot2' Visualisation,TRUE
ggsom,13,26430,TRUE,New Data Visualisations for SOMs Networks,TRUE
ggdensity,229,26402,TRUE,Interpretable Bivariate Density Visualization with 'ggplot2',TRUE
ggpage,340,25991,TRUE,Creates Page Layout Visualizations,TRUE
ggisotonic,NA,25034,NA,'ggplot2' Friendly Isotonic or Monotonic Regression Curves,TRUE
ggfocus,NA,24993,NA,Scales that Focus Specific Levels in your ggplot(),TRUE
xmrr,7,24896,TRUE,NA,NA
plothelper,NA,24842,NA,"New Plots Based on 'ggplot2' and Functions to Create Regular
Shapes",TRUE
ggbuildr,NA,24574,NA,Save Incremental Builds of Plots,TRUE
ggheatmap,87,24201,TRUE,Plot Heatmap,TRUE
cytofan,NA,24192,NA,Plot Fan Plots for Cytometry Data using 'ggplot2',TRUE
ggseg,219,24005,TRUE,Plotting Tool for Brain Atlases,TRUE
ggQQunif,8,23245,TRUE,Compare Big Datasets to the Uniform Distribution,TRUE
ggimg,53,23206,TRUE,Graphics Layers for Plotting Image Data with 'ggplot2',TRUE
loon.ggplot,NA,23200,NA,A Grammar of Interactive Graphics,TRUE
ggnormalviolin,NA,22982,NA,A 'ggplot2' Extension to Make Normal Violin Plots,TRUE
ggsolvencyii,NA,22175,NA,A 'ggplot2'-Plot of Composition of Solvency II SCR: SF and IM,TRUE
ggpie,48,22050,TRUE,"Pie, Donut and Rose Pie Plots",TRUE
sportyR,NA,21428,NA,Plot Scaled 'ggplot' Representations of Sports Playing Surfaces,TRUE
ggpath,NA,20381,NA,Robust Image Rendering Support for 'ggplot2',TRUE
ggmulti,NA,19682,NA,High Dimensional Data Visualization,TRUE
ggBubbles,NA,19455,NA,Mini Bubble Plots for Comparison of Discrete Data with 'ggplot2',TRUE
mdthemes,80,19142,TRUE,NA,NA
SparseBiplots,NA,19073,NA,"'HJ-Biplot' using Different Ways of Penalization Plotting with
'ggplot2'",TRUE
ggmice,NA,18095,NA,Visualizations for 'mice' with 'ggplot2',TRUE
ggrcs,NA,17135,NA,Draw Histograms and Restricted Cubic Splines (RCS),TRUE
ggip,27,16438,TRUE,Data Visualization for IP Addresses and Networks,TRUE
ggseqplot,14,16406,TRUE,Render Sequence Plots using 'ggplot2',TRUE
ggarchery,32,15680,TRUE,Flexible Segment Geoms with Arrows for 'ggplot2',TRUE
ggshadow,60,15444,TRUE,Shadow and Glow Geoms for 'ggplot2',TRUE
ggseg3d,NA,14646,NA,Tri-Surface Mesh Plots for Brain Atlases,TRUE
gggrid,NA,14457,NA,Draw with 'grid' in 'ggplot2',TRUE
ggpackets,NA,14407,NA,Package Plot Layers for Easier Portability and Modularization,TRUE
ggHoriPlot,144,14167,TRUE,Horizon Plots for 'ggplot2',TRUE
ggborderline,NA,13941,NA,Line Plots that Pop,TRUE
gwaRs,NA,13844,NA,"Manhattan, Q-Q, and PCA Plots using 'ggplot2'",TRUE
figpatch,NA,13613,NA,"Easily Arrange External Figures with Patchwork Alongside
'ggplot2' Figures",TRUE
